corner,vdd,algo,run,feasible,penalty,objective,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,sim_failure
tt,1.98,ABC,0,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,1,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,2,0,1,53.65017,1.221756,18.92457,50.3795,63.760999999999996,15.3832,46.66612,
tt,1.98,ABC,3,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,4,0,1,53.37164,1.221706,19.23292,50.2742,64.157,15.5356,45.45619,
tt,1.98,ABC,5,0,1,53.4247,1.221754,18.91468,50.2426,63.807,15.4567,45.07472,
tt,1.98,ABC,6,0,1,53.49315,1.221756,19.04859,50.33,64.121,15.5176,46.29256,
tt,1.98,ABC,7,0,1,52.3689,1.221684,19.26799,50.5836,64.453,15.6668,46.24954,
tt,1.98,ABC,8,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,9,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,10,0,1,53.52256,1.221751,19.03378,50.3468,64.056,15.4948,46.30966,
tt,1.98,ABC,11,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,12,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,13,0,1,53.44899,1.221711,19.19811,50.395,64.034,15.4706,46.41638,
tt,1.98,ABC,14,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,15,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,16,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,17,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,18,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,19,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,20,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,21,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,22,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,23,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,24,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,25,0,1,52.97479,1.221753,19.03375,50.505,64.454,15.6537,47.09063,
tt,1.98,ABC,26,0,1,52.7204,1.221597,19.68114,50.6529,64.997,15.8743,46.38915,
tt,1.98,ABC,27,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,28,0,6,-200.0,,,,,,,timeout
tt,1.98,ABC,29,0,1,49.04673,1.221403,20.51292,50.3457,65.263,16.041,41.30165,
tt,1.98,ACO,0,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,1,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,2,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,3,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,4,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,5,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,6,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,7,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,8,0,1,50.64294,1.221763,19.17745,50.2189,64.824,15.7487,46.76537,
tt,1.98,ACO,9,0,1,51.30228,1.221745,19.21246,50.2266,64.664,15.6913,46.47478,
tt,1.98,ACO,10,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,11,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,12,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,13,0,1,51.22557,1.221735,19.25726,50.2276,64.692,15.7027,46.3595,
tt,1.98,ACO,14,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,15,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,16,0,1,51.30253,1.221745,19.21246,50.2266,64.664,15.6913,46.4749,
tt,1.98,ACO,17,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,18,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,19,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,20,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,21,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,22,0,1,51.29478,1.221746,19.20748,50.2265,64.664,15.6913,46.47904,
tt,1.98,ACO,23,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,24,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,25,0,6,-200.0,,,,,,,timeout
tt,1.98,ACO,26,0,1,53.3935,1.221751,19.13796,50.2349,64.21,15.5291,46.30025,
tt,1.98,ACO,27,0,1,52.11788,1.221732,19.23747,50.2333,64.487,15.6288,46.21226,
tt,1.98,ACO,28,0,1,51.16762,1.221739,19.23736,50.2272,64.693,15.7036,46.38623,
tt,1.98,ACO,29,0,1,51.43072,1.221753,19.18257,50.2259,64.634,15.6784,46.5759,
tt,1.98,FA,0,1,0,41.23471,1.221276,24.44041,50.8168,62.0,25.6099,26.36037,
tt,1.98,FA,1,1,0,42.86979,1.220954,22.6152,50.1051,60.718,15.0451,53.35637,
tt,1.98,FA,2,0,1,54.10962,1.221753,18.83533,50.1787,62.653000000000006,14.9903,48.79192,
tt,1.98,FA,3,1,0,41.58506,1.220931,24.72529,51.2213,62.574,19.3768,27.38678,
tt,1.98,FA,4,1,0,38.09407,1.221062,22.16153,50.119,60.221000000000004,14.3812,51.39684,
tt,1.98,FA,5,1,0,45.03359,1.220988,24.6745,51.4893,62.32599999999999,22.0624,26.97437,
tt,1.98,FA,6,1,0,44.81801,1.221016,24.66897,51.4605,61.532,22.5769,26.58946,
tt,1.98,FA,7,1,0,30.32826,1.22118,24.40759,50.1312,61.382999999999996,28.409,26.88127,
tt,1.98,FA,8,1,0,30.4088,1.22123,24.2726,50.1309,61.370000000000005,28.505,26.75498,
tt,1.98,FA,9,0,1,53.96574,1.22176,18.65664,50.347,62.614000000000004,15.073,47.6228,
tt,1.98,FA,10,0,1,54.08113,1.221755,18.96427,50.176,61.821,14.6373,49.30385,
tt,1.98,FA,11,1,0,44.9783,1.220358,24.65744,50.1192,61.863,16.1124,43.1779,
tt,1.98,FA,12,1,0,43.46317,1.220767,23.22931,50.1148,61.397999999999996,15.4253,48.86219,
tt,1.98,FA,13,1,0,50.78804,1.220223,25.43499,50.1372,62.967,17.1795,46.58301,
tt,1.98,FA,14,1,0,49.94395,1.220282,25.21523,50.1412,64.155,17.5041,35.93191,
tt,1.98,FA,15,0,1,46.82199,1.221781,18.77537,50.531,62.697,15.4002,43.66264,
tt,1.98,FA,16,1,0,37.01093,1.221037,22.21162,50.1975,60.193,14.2186,51.45901,
tt,1.98,FA,17,1,0,51.23797,1.220276,25.49349,50.1036,63.352999999999994,17.421,52.63677,
tt,1.98,FA,18,1,0,44.41501,1.221068,24.7523,50.562,62.444,18.8847,26.8133,
tt,1.98,FA,19,0,1,26.27329,1.22178,24.62875,50.0709,74.756,31.9125,42.73002,
tt,1.98,FA,20,0,2,24.34322,1.221802,20.66,50.2176,64.353,13.8913,48.75156,
tt,1.98,FA,21,0,1,26.09555,1.221778,24.66351,50.0704,75.358,31.8548,44.67238,
tt,1.98,FA,22,0,1,52.9618,1.221775,18.95404,50.1873,61.285,14.4076,46.31386,
tt,1.98,FA,23,0,1,54.04792,1.221755,19.0486,50.2159,62.413,14.8948,49.36961,
tt,1.98,FA,24,1,0,46.53461,1.220508,24.18764,50.141,61.370000000000005,15.6331,48.02495,
tt,1.98,FA,25,1,0,35.43089,1.220955,22.51094,50.1036,60.215999999999994,14.1349,49.73053,
tt,1.98,FA,26,0,1,27.4756,1.221731,24.56028,50.0896,71.0,31.1217,35.16752,
tt,1.98,FA,27,0,1,54.24664,1.221748,18.93462,50.1747,62.672,15.1146,49.48468,
tt,1.98,FA,28,1,0,43.67604,1.221063,24.60846,51.5309,60.795,24.4065,26.17907,
tt,1.98,FA,29,1,0,41.26143,1.220296,24.85239,50.1134,60.07599999999999,15.5486,53.10439,
tt,1.98,GA,0,0,1,52.36596,1.221786,19.0382,50.7484,65.158,15.9944,49.02037,
tt,1.98,GA,1,0,1,53.48546,1.221735,19.0886,50.2882,64.017,15.4854,45.81986,
tt,1.98,GA,2,0,1,51.8264,1.221622,19.52694,50.3536,64.461,15.6969,44.18608,
tt,1.98,GA,3,0,1,53.43854,1.221753,18.93454,50.226,63.788,15.4406,45.13723,
tt,1.98,GA,4,0,1,54.00611,1.221753,19.38595,50.2434,63.08,15.3103,50.0863,
tt,1.98,GA,5,0,1,53.34136,1.221759,18.85508,50.2162,63.726,15.4549,44.5597,
tt,1.98,GA,6,0,1,51.99844,1.221699,20.30456,50.1575,65.691,16.3259,51.2046,
tt,1.98,GA,7,0,6,-200.0,,,,,,,timeout
tt,1.98,GA,8,0,1,53.39674,1.22177,18.71106,50.3005,63.491,15.3888,44.72356,
tt,1.98,GA,9,1,0,44.76152,1.221247,24.59483,50.2473,63.068,19.0328,26.43835,
tt,1.98,GA,10,1,0,45.15681,1.221055,24.72775,50.6652,62.706999999999994,19.5328,26.82227,
tt,1.98,GA,11,0,6,-200.0,,,,,,,timeout
tt,1.98,GA,12,0,6,-200.0,,,,,,,timeout
tt,1.98,GA,13,0,1,53.1816,1.221773,18.66636,50.205,63.322,15.3745,43.55825,
tt,1.98,GA,14,0,1,53.48532,1.221737,19.04392,50.3186,64.017,15.501,45.75384,
tt,1.98,GA,15,0,1,52.25432,1.221607,19.34362,50.2384,64.013,15.6812,40.08127,
tt,1.98,GA,16,0,1,53.05568,1.221791,18.57184,50.1695,63.272000000000006,15.3876,42.94246,
tt,1.98,GA,17,1,0,45.76602,1.220946,24.78952,50.2658,63.519000000000005,18.1502,27.52661,
tt,1.98,GA,18,1,0,46.72362,1.220712,24.87371,50.1594,64.05,17.6211,28.78447,
tt,1.98,GA,19,0,1,51.79078,1.221574,19.52275,50.2157,64.11,15.7403,38.38131,
tt,1.98,GA,20,0,6,-200.0,,,,,,,timeout
tt,1.98,GA,21,0,6,-200.0,,,,,,,timeout
tt,1.98,GA,22,0,6,-200.0,,,,,,,timeout
tt,1.98,GA,23,0,6,-200.0,,,,,,,timeout
tt,1.98,GA,24,0,1,53.65862,1.221756,18.91961,50.4552,63.840999999999994,15.416,46.90404,
tt,1.98,GA,25,0,1,51.1051,1.221738,19.21257,50.3059,64.75,15.7369,46.541,
tt,1.98,GA,26,0,1,53.33453,1.221756,18.86505,50.2187,63.721999999999994,15.4535,44.53133,
tt,1.98,GA,27,0,1,51.99194,1.221733,19.80297,51.0014,66.566,16.6947,50.30012,
tt,1.98,GA,28,0,1,53.53936,1.221745,18.89498,50.4099,63.839,15.4616,45.81374,
tt,1.98,GA,29,0,1,46.66669,1.221443,20.46263,50.349,65.942,16.306,42.32374,
tt,1.98,GWO,0,0,1,49.88499,1.22172,19.35671,50.2253,64.981,15.8263,46.19578,
tt,1.98,GWO,1,0,1,49.50093,1.221744,19.26208,50.2211,64.952,15.8076,46.35049,
