corner,vdd,algo,run,feasible,penalty,objective,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,sim_failure
ss,1.62,ABC,0,0,2,27.81759,1.222354,22.9215,49.7001,62.650000000000006,16.4059,47.17919,
ss,1.62,ABC,1,0,2,28.87687,1.222177,24.06039,49.5216,62.873000000000005,16.4265,46.14401,
ss,1.62,ABC,2,0,2,29.97171,1.222201,22.72601,49.6143,62.385999999999996,15.9596,46.6607,
ss,1.62,ABC,3,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,4,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,5,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,6,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,7,0,2,27.29525,1.222408,23.8377,49.4704,62.812,16.6462,46.25352,
ss,1.62,ABC,8,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,9,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,10,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,11,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,12,0,2,28.03216,1.222363,25.16239,49.3905,62.94799999999999,16.5302,44.27345,
ss,1.62,ABC,13,0,2,28.86466,1.222325,23.54678,49.4303,62.57899999999999,16.2122,46.41664,
ss,1.62,ABC,14,0,2,28.49153,1.222517,24.72296,49.1678,62.574,16.2536,45.16742,
ss,1.62,ABC,15,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,16,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,17,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,18,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,19,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,20,0,2,24.68567,1.222375,22.43521,49.2872,62.56999999999999,17.2643,47.72331,
ss,1.62,ABC,21,0,2,29.41979,1.222257,22.96298,49.6169,62.706,16.1878,46.47078,
ss,1.62,ABC,22,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,23,0,2,28.80991,1.222458,23.42028,49.0271,63.733000000000004,17.0558,46.02661,
ss,1.62,ABC,24,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,25,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,26,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,27,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,28,0,6,-200.0,,,,,,,timeout
ss,1.62,ABC,29,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,0,0,2,28.51102,1.222675,24.69994,48.6831,63.149,16.6985,45.82825,
ss,1.62,ACO,1,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,2,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,3,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,4,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,5,0,2,28.43407,1.222637,24.13065,48.9819,62.855999999999995,16.4782,46.60987,
ss,1.62,ACO,6,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,7,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,8,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,9,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,10,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,11,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,12,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,13,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,14,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,15,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,16,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,17,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,18,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,19,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,20,0,6,-200.0,,,,,,,timeout
ss,1.62,ACO,21,0,6,-200.0,,,,,,,timeout
